Horizon,MAE,RMSE
1h,6.611847877502441,9.60939087905192
3h,14.465143203735352,18.186547742736337
6h,20.213184356689453,23.737195870056713
12h,15.416515350341797,18.475176679001272
24h,17.58625602722168,22.302814336844353
